Borough,Neighborhood,ID,Name
Brooklyn,Kensington,4d5c12a01e43236a87eb1583,Sake Sushi
Brooklyn,Williamsburg,51f9b7b3498eefe896caeb23,Shalom Japan
Brooklyn,Bedford Stuyvesant,5b3bcb69bfc6d0002ca9bf17,Warude
Brooklyn,Brooklyn Heights,479ccb47f964a5206b4d1fe3,Iron Chef House
Brooklyn,Cobble Hill,48a41073f964a52091511fe3,Hibino
Brooklyn,Carroll Gardens,5e4f270b03b7910008721f2e,Karazishi Botan
Brooklyn,Park Slope,5276d39a498eb1a5d90096e4,Sushi Katsuei
Brooklyn,Park Slope,3fd66200f964a5208af11ee3,Yamato
Brooklyn,Clinton Hill,4e3cadcb1f6e844231dbe017,Waza
Brooklyn,Downtown,5946d138e2da1964625ca9b2,Daigo Hand Roll Bar
Brooklyn,Boerum Hill,58a202a25490d30f87553a08,Rice & Miso
Brooklyn,North Side,4c7f0887fb74236a7727f9b9,Samurai Mama
Brooklyn,South Side,51f9b7b3498eefe896caeb23,Shalom Japan
Brooklyn,Fort Hamilton,4c2678eef1272d7f43a986c5,Fushimi
Manhattan,Hamilton Heights,531a0207498e06b4656eb8c5,Geisha Japanese Cuisine
Manhattan,Upper East Side,542efa85498ea11026c9746c,Kappo Masa
Manhattan,Yorkville,4bc11982b492d13ad88fa560,Inase Sushi
Manhattan,Lenox Hill,5aa1d85d5f68b931b6f5acda,Kome Waza UES
Manhattan,Midtown,51fd77be498e883bf20fcca8,OOTOYA 大戸屋 (OOTOYA)
Manhattan,Midtown,48c50c4bf964a520dc511fe3,Café Zaiya
Manhattan,Murray Hill,4a99b4f4f964a520f62f20e3,Kajitsu
Manhattan,Murray Hill,559cbaa6498eaa4e8d884811,Tempura Matsui
Manhattan,Murray Hill,591caee89deb7d0f69be77a2,Omusubi Gonbei
Manhattan,Murray Hill,540dc46d498e86f0e5059dd2,Zuma New York
Manhattan,Chelsea,454f7cc4f964a520dc3c1fe3,Morimoto
Manhattan,Greenwich Village,3fd66200f964a520dfe91ee3,Omen a Zen
Manhattan,East Village,510c85e7e4b0056826b88297,Kura
Manhattan,East Village,5b3805910dd31f002409405a,Suki Curry
Manhattan,Lower East Side,535978ff498ec5450feaef85,Azasu
Manhattan,West Village,59c5657f3b4e0073c245f3c4,Sushi on Jones (West 10th)
Queens,Woodside,59cfbbaf491be76b026b6a84,Matsuri
Queens,Howard Beach,4c100cd3b93cc9b6482156e0,Hagane
Queens,Rego Park,4ee7eaf7469064168cac36bf,Bamboo Ya
Queens,Little Neck,53696c9b498ef94c9f2bc134,Tei Nei Ya
Queens,Jamaica Center,50f5979fe4b0ff6d3603e506,PP Boy Japan Teriyaki & Sushi
Queens,Lindenwood,4b9ae1e3f964a52030df35e3,Kawaii
Queens,Rockaway Park,4c1868bb50389c74257fb3cf,O'Sake Japanese Restaurant
Staten Island,Great Kills,4b747a21f964a520e6de2de3,Arirang Hibachi Steakhouse
Staten Island,Grasmere,4bad3dcbf964a520173d3be3,Fuji Sushi
Staten Island,Bulls Head,4b79eec8f964a520161b2fe3,Sapporo Sushi
Manhattan,Noho,446b2f7cf964a52058331fe3,Umi No Ie
Manhattan,Midtown South,51e8ce40498ea1fb0180efb2,Izakaya MEW
Manhattan,Midtown South,58b8ed467220e661ddf34104,KazuNori: The Original Hand Roll Bar
Manhattan,Midtown South,5d7a9d59a369d40008dfcc1a,Konbini
Brooklyn,Mill Basin,4d7fc91f95c1a143260eecf2,Yoshi
Brooklyn,Mill Basin,4bfc3f24b5cd2d7fc34931fb,Sosaku
Queens,Pomonok,4b817770f964a520ffa730e3,Futigi Japanese Cuisine
Queens,Hunters Point,52b470f511d2522f86497c9b,Hibino LIC
Queens,Hunters Point,5718e217498e458de03e94c8,Takumen
Queens,Hunters Point,5bb7e3ced48ec100398ab4fb,Dai Hachi
Manhattan,Tudor City,559cbaa6498eaa4e8d884811,Tempura Matsui
Manhattan,Flatiron,5bd7a5561c675b0039be9acc,HALL
Manhattan,Flatiron,4f7b61f6e4b07aaa5d524842,OOTOYA 大戸屋 (OOTOYA)
Manhattan,Flatiron,581a10901df6b32e66ec3a07,Sugarfish
Manhattan,Flatiron,55805bb5498e8356d675aa22,Yakiniku Futago
Queens,Sunnyside Gardens,4ba2a9cbf964a520d00d38e3,Oki Japanese Restaurant
Brooklyn,Dumbo,50a94269e4b0ed1fd95eede7,Rice & Miso Everyday
